# zmid   n(z)
# No galaxies : 3207184
0.0000 0.000000
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.053852
0.054097 0.060500
0.063097 0.067887
0.072096 0.076484
0.081096 0.086846
0.090095 0.099228
0.099095 0.113769
0.108094 0.130265
0.117094 0.148421
0.126093 0.167931
0.135092 0.189107
0.144092 0.212961
0.153092 0.241257
0.162091 0.276275
0.171090 0.320393
0.180090 0.374744
0.189090 0.438095
0.198089 0.506100
0.207089 0.571907
0.216088 0.628248
0.225087 0.670667
0.234087 0.699364
0.243087 0.718655
0.252086 0.735230
0.261086 0.756249
0.270085 0.787547
0.279085 0.833365
0.288084 0.896129
0.297083 0.976045
0.306083 1.070782
0.315082 1.174489
0.324082 1.277826
0.333082 1.370100
0.342081 1.441532
0.351081 1.486184
0.360080 1.502398
0.369080 1.493276
0.378079 1.465739
0.387078 1.429308
0.396078 1.393658
0.405077 1.366751
0.414077 1.352009
0.423077 1.347482
0.432076 1.347220
0.441076 1.345147
0.450075 1.337014
0.459074 1.322985
0.468074 1.307090
0.477073 1.295199
0.486073 1.292147
0.495073 1.300930
0.504072 1.321471
0.513071 1.352498
0.522071 1.390492
0.531070 1.430506
0.540070 1.466660
0.549070 1.493744
0.558069 1.508561
0.567069 1.511788
0.576068 1.506972
0.585068 1.499479
0.594067 1.494123
0.603067 1.494033
0.612066 1.500273
0.621065 1.513914
0.630065 1.535491
0.639064 1.564575
0.648064 1.597818
0.657063 1.628127
0.666063 1.645764
0.675062 1.641826
0.684062 1.611531
0.693061 1.556989
0.702061 1.485883
0.711061 1.408375
0.720060 1.332882
0.729060 1.264061
0.738059 1.202385
0.747059 1.146622
0.756058 1.095043
0.765058 1.047403
0.774057 1.004723
0.783056 0.969749
0.792056 0.944603
0.801055 0.930303
0.810055 0.925788
0.819054 0.928034
0.828054 0.932524
0.837053 0.934660
0.846053 0.930069
0.855052 0.916320
0.864052 0.893181
0.873052 0.862396
0.882051 0.826661
0.891051 0.788981
0.900050 0.752000
0.909050 0.717306
0.918049 0.685151
0.927049 0.655096
0.936048 0.626154
0.945047 0.597632
0.954047 0.569259
0.963046 0.541367
0.972046 0.514529
0.981045 0.489827
0.990045 0.468016
0.999044 0.449417
1.008044 0.433409
1.017043 0.418490
1.026043 0.402888
1.035043 0.385477
1.044042 0.366070
1.053041 0.345745
1.062041 0.325966
1.071041 0.307985
1.080040 0.292465
1.089039 0.279747
1.098039 0.269767
1.107038 0.262157
1.116038 0.256403
1.125038 0.251716
1.134037 0.246637
1.143036 0.239142
1.152036 0.227064
1.161036 0.208957
1.170035 0.184492
1.179034 0.154752
1.188034 0.122356
1.197034 0.090926
1.206033 0.063561
1.215032 0.041995
1.224032 0.026613
1.233032 0.016656
1.242031 0.010689
1.251030 0.007591
1.260030 0.006429
1.269029 0.006394
1.278029 0.006805
1.287029 0.007288
1.296028 0.007588
1.305027 0.007619
1.314027 0.007385
1.323027 0.006982
1.332026 0.006533
1.341025 0.006130
1.350025 0.005854
1.359025 0.005759
1.368024 0.005847
1.377023 0.005977
1.386023 0.006013
1.395023 0.005892
1.404022 0.005554
1.413021 0.004975
1.422021 0.004265
1.431020 0.003572
1.440020 0.003004
1.449020 0.002594
1.458019 0.002335
1.467018 0.002201
1.476018 0.002149
1.485018 0.002144
1.494017 0.002160
1.503016 0.002178
1.512016 0.002199
1.521016 0.002233
1.530015 0.002293
1.539014 0.002385
1.548014 0.002513
1.557014 0.002675
1.566013 0.002877
1.575012 0.003111
1.584012 0.003340
1.593011 0.003512
1.602011 0.003567
1.611011 0.003457
1.620010 0.003190
1.629009 0.002812
1.638009 0.002400
1.647009 0.002037
1.656008 0.001778
1.665007 0.001640
1.674007 0.001612
1.683007 0.001664
1.692006 0.001752
1.701005 0.001836
1.710005 0.001886
1.719005 0.001894
1.728004 0.001879
1.737003 0.001871
1.746003 0.001884
1.755002 0.001919
1.764002 0.001966
1.773002 0.002007
1.782001 0.002017
1.791000 0.001988
1.800000 0.001928
