# zmid   n(z)
# No galaxies : 832331 
0.009100 0.000000
0.018099 0.000000
0.027098 0.000000
0.036098 0.000000
0.045098 0.020453
0.054097 0.022346
0.063097 0.024471
0.072096 0.026650
0.081096 0.028749
0.090095 0.030566
0.099095 0.031893
0.108094 0.032559
0.117094 0.032373
0.126093 0.031309
0.135092 0.029465
0.144092 0.027088
0.153092 0.024588
0.162091 0.022434
0.171090 0.020917
0.180090 0.020150
0.189090 0.020031
0.198089 0.020407
0.207089 0.020952
0.216088 0.021125
0.225087 0.020624
0.234087 0.019721
0.243087 0.018871
0.252086 0.018425
0.261086 0.018536
0.270085 0.019394
0.279085 0.021049
0.288084 0.023545
0.297083 0.026753
0.306083 0.030199
0.315082 0.033373
0.324082 0.035832
0.333082 0.037315
0.342081 0.037756
0.351081 0.037297
0.360080 0.036175
0.369080 0.034697
0.378079 0.033107
0.387078 0.031619
0.396078 0.030464
0.405077 0.029912
0.414077 0.030074
0.423077 0.030801
0.432076 0.032106
0.441076 0.034178
0.450075 0.037245
0.459074 0.041842
0.468074 0.049117
0.477073 0.061166
0.486073 0.080462
0.495073 0.110354
0.504072 0.154729
0.513071 0.219552
0.522071 0.311096
0.531070 0.435657
0.540070 0.597550
0.549070 0.799624
0.558069 1.042147
0.567069 1.325012
0.576068 1.645164
0.585068 1.998040
0.594067 2.375956
0.603067 2.770462
0.612066 3.174252
0.621065 3.583645
0.630065 3.995800
0.639064 4.403733
0.648064 4.789762
0.657063 5.123286
0.666063 5.366432
0.675062 5.486305
0.684062 5.467377
0.693061 5.318868
0.702061 5.070720
0.711061 4.762162
0.720060 4.428057
0.729060 4.090295
0.738059 3.756226
0.747059 3.425562
0.756058 3.095880
0.765058 2.768458
0.774057 2.448248
0.783056 2.145090
0.792056 1.867088
0.801055 1.620120
0.810055 1.404885
0.819054 1.218785
0.828054 1.056761
0.837053 0.913535
0.846053 0.783572
0.855052 0.664316
0.864052 0.554510
0.873052 0.454485
0.882051 0.364607
0.891051 0.286141
0.900050 0.220070
0.909050 0.166878
0.918049 0.125558
0.927049 0.094926
0.936048 0.073198
0.945047 0.058739
0.954047 0.049492
0.963046 0.044095
0.972046 0.041141
0.981045 0.039684
0.990045 0.039086
0.999044 0.039036
1.008044 0.039140
1.017043 0.039041
1.026043 0.038435
1.035043 0.037146
1.044042 0.035322
1.053041 0.033373
1.062041 0.031728
1.071041 0.030748
1.080040 0.030604
1.089039 0.031382
1.098039 0.032942
1.107038 0.034932
1.116038 0.037237
1.125038 0.039732
1.134037 0.041885
1.143036 0.043066
1.152036 0.042813
1.161036 0.040878
1.170035 0.037205
1.179034 0.031826
1.188034 0.025377
1.197034 0.019035
1.206033 0.013630
1.215032 0.009410
1.224032 0.006375
1.233032 0.004440
1.242031 0.003444
1.251030 0.003152
1.260030 0.003323
1.269029 0.003754
1.278029 0.004254
1.287029 0.004630
1.296028 0.004725
1.305027 0.004491
1.314027 0.004038
1.323027 0.003546
1.332026 0.003144
1.341025 0.002900
1.350025 0.002838
1.359025 0.002958
1.368024 0.003197
1.377023 0.003447
1.386023 0.003598
1.395023 0.003586
1.404022 0.003373
1.413021 0.002979
1.422021 0.002498
1.431020 0.002037
1.440020 0.001656
1.449020 0.001373
1.458019 0.001188
1.467018 0.001086
1.476018 0.001045
1.485018 0.001040
1.494017 0.001051
1.503016 0.001066
1.512016 0.001085
1.521016 0.001117
1.530015 0.001185
1.539014 0.001310
1.548014 0.001501
1.557014 0.001762
1.566013 0.002093
1.575012 0.002469
1.584012 0.002841
1.593011 0.003146
1.602011 0.003309
1.611011 0.003275
1.620010 0.003045
1.629009 0.002668
1.638009 0.002225
1.647009 0.001812
1.656008 0.001495
1.665007 0.001302
1.674007 0.001233
1.683007 0.001256
1.692006 0.001323
1.701005 0.001387
1.710005 0.001419
1.719005 0.001413
1.728004 0.001385
1.737003 0.001360
1.746003 0.001356
1.755002 0.001365
1.764002 0.001378
1.773002 0.001381
1.782001 0.001356
1.791000 0.001300
1.800000 0.001218
